;;;Availability;Direct and indirect emissions;Price;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;25205.63483;0.412971429;0.063732;
Non-renewable;Fossil fuel;GASOLINE;1E+15;0.3448;0.065566486;
Non-renewable;Fossil fuel;DIESEL;1E+15;0.3148;0.063479071;
Renewable;Biofuel;BIOETHANOL;1E+15;0;0.122502774;
Renewable;Biofuel;BIODIESEL;1E+15;0;0.131394244;
Non-renewable;Fossil fuel;LFO;1E+15;0.3115;0.047882136;
Non-renewable;Fossil fuel;GAS;1E+15;0.2666;0.033636659;
Renewable;Biofuel;GAS_RE;1E+15;0;0.132345636;
Renewable;Biomass;WOOD;23400;0.0118;0.030123691;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005285223;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.015545445;
Non-renewable;Other non-renewable;URANIUM;1E+15;0.0039;0.003876456;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.021187834;
Non-renewable;Other non-renewable;H2;1E+15;0.414044616;0.077642645;
Renewable;Biofuel;H2_RE;1E+15;0;0.137854413;
Non-renewable;Other non-renewable;AMMONIA;1E+15;0.285;0.071991938;
Non-renewable;Other non-renewable;METHANOL;1E+15;0.35;0.081184572;
Renewable;Biofuel;AMMONIA_RE;1E+15;0;0.092751343;
Renewable;Biofuel;METHANOL_RE;1E+15;0;0.122502774;
Export;Export;ELEC_EXPORT;1E+15;0;0;
Export;Export;CO2_EMISSIONS;1E+15;0;0;
Renewable;Non-biomass;RES_WIND;1E+15;0;0;
Renewable;Non-biomass;RES_SOLAR;1E+15;0;0;
Renewable;Non-biomass;RES_HYDRO;1E+15;0;0;
Renewable;Non-biomass;RES_GEO;1E+15;0;0;
Others;Others;CO2_ATM ;1E+15;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;
